Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-03-13,-0.60807912397587,-0.6080717353395826,-0.6081399789853222,-0.6080096421919737,25.45777095895418,0.0,0.0
1986-03-14,-0.6080005183594567,-0.6080639561145231,-0.608060496188487,-0.6079782076585786,6.540832091411977,0.0,0.0
1986-03-17,-0.6079690764167974,-0.6080561773332277,-0.6080287033770503,-0.6079624816883272,1.9663148360117366,0.0,0.0
1986-03-18,-0.6079533460286835,-0.6080561770690966,-0.608044599636366,-0.6079860662108384,0.25651748791859236,0.0,0.0
1986-03-19,-0.6079769369681743,-0.6080795233285732,-0.6080604964228624,-0.6080017836397139,-0.2629717988204079,0.0,0.0
1986-03-20,-0.6079926579635505,-0.6081028602801785,-0.6080843411148334,-0.6080253592964933,0.01258338805854008,0.0,0.0
1986-03-21,-0.6080162396665876,-0.6081106393716537,-0.6081161342282413,-0.6080489351154507,0.053239071368548795,0.0,0.0
1986-03-24,-0.6080398212028494,-0.6081495343481614,-0.6081320306613613,-0.6080725107722299,0.1917695478322822,0.0,0.0
1986-03-25,-0.6080634027262849,-0.6081573132583428,-0.608132030558957,-0.6080567935055323,-0.6763045791388298,0.0,0.0
1986-03-26,-0.6080476818331592,-0.6081261973989858,-0.6081161342304777,-0.6080332179568717,-0.9202386789988821,0.0,0.0
1986-03-27,-0.6080240999997873,-0.6081184181746697,-0.6080843409824466,-0.6080175005820555,-1.0745796989720633,0.0,0.0
1986-03-31,-0.6080083790471318,-0.6081184183066148,-0.6080922893744448,-0.6080253592964933,-1.1784775563198633,0.0,0.0
1986-04-01,-0.6080162396689047,-0.6081261973989858,-0.6080843411949731,-0.6080332179568717,-1.2251563038239475,0.0,0.0
1986-04-02,-0.6080241001307132,-0.6081106392933967,-0.6080843411148334,-0.6080253592964933,-0.8088119914084878,0.0,0.0
1986-04-03,-0.6080083789138038,-0.6080950811314492,-0.6080684444607949,-0.6080175005820555,-0.9127098487562879,0.0,0.0
1986-04-04,-0.6080083789138038,-0.6081106391602629,-0.6080684444607949,-0.6080175005820555,-0.8201052367723791,0.0,0.0
1986-04-07,-0.6080083791278411,-0.6081106393739885,-0.6081002377127254,-0.6080332179568717,-1.0821085292146575,0.0,0.0
1986-04-08,-0.6080241001307132,-0.6081106392933967,-0.6080843411148334,-0.6080253592964933,-1.2469899115274707,0.0,0.0
1986-04-09,-0.6080162396456716,-0.6081028603378705,-0.6080763929126046,-0.6080096421919737,-1.197299631926349,0.0,0.0
1986-04-10,-0.6080005185912455,-0.6080950813534917,-0.6080763929405342,-0.6080017836397139,-1.1521266504707837,0.0,0.0
1986-04-11,-0.6079847972433401,-0.6080717350986307,-0.608044599636366,-0.6079860662108384,-1.0647922196566908,0.0,0.0
1986-04-14,-0.6079769367301773,-0.6080717351290303,-0.608036651405702,-0.6079782076585786,-1.197299631926349,0.0,0.0
1986-04-15,-0.6079690761870842,-0.6080795230909967,-0.608060496188487,-0.6079782076585786,-1.2718350513280317,0.0,0.0
1986-04-16,-0.6079690764713417,-0.6080406193644382,-0.6080366516906539,-0.6079467645838077,-0.6808218772843864,0.0,0.0
1986-04-17,-0.6079376247051671,-0.6080406188032611,-0.6079969006876281,-0.6079389054368952,-0.939813637629627,0.0,0.0
1986-04-18,-0.6079297646967453,-0.6080406193345994,-0.6080287034029752,-0.6079703402946464,-0.9496011169449995,0.0,0.0
1986-04-21,-0.6079612068603131,-0.6080639563715858,-0.6080445999203805,-0.6079703402946464,-0.9157213808533256,0.0,0.0
1986-04-22,-0.6079612065720391,-0.6080717350986307,-0.6080366513751722,-0.6079860662108384,-1.1084594350637373,0.0,0.0
1986-04-23,-0.6079769373007021,-0.6080795236605133,-0.6080446002385056,-0.6079821375563909,-1.1069536690152184,0.0,0.0
1986-04-24,-0.6079730064110722,-0.6079783868650892,-0.6080366513238562,-0.6078917541233365,0.11497547935782129,0.0,0.0
1986-04-25,-0.6078747407322256,-0.6078889194196878,-0.6079333149761539,-0.6078288766232892,0.7278222611049897,0.0,0.0
1986-04-28,-0.6078197081925448,-0.6079161462998693,-0.6078856257141229,-0.6078210183413261,-0.7598745948316256,0.0,0.0
1986-04-29,-0.6078118471390607,-0.6079239248033169,-0.6079094699877261,-0.6078524611998597,-0.7222304436186545,0.0,0.0
1986-04-30,-0.6078432987586643,-0.6079472711983502,-0.6079492116851467,-0.6078760373431731,-0.7071727831334661,0.0,0.0
1986-05-01,-0.6078668799948431,-0.6079783868650892,-0.6079571595653281,-0.6078917541233365,-0.09432600138629765,0.0,0.0
1986-05-02,-0.607882601082437,-0.6079783868650892,-0.6079492113036881,-0.6078917541233365,-0.9857395021094517,0.0,0.0
1986-05-05,-0.6078826016508165,-0.6079939454579809,-0.6079492118738853,-0.6078996132702491,-1.4299404864225098,0.0,0.0
1986-05-06,-0.607882601082437,-0.6079783868650892,-0.6079412630420481,-0.6078917541233365,-1.2605418059641402,0.0,0.0
1986-05-07,-0.607882601082437,-0.607986165880293,-0.6079571595653281,-0.6078917541233365,-1.3802502068213882,0.0,0.0
1986-05-08,-0.6078826012740436,-0.6079861660714052,-0.6079492114959074,-0.6078838957332549,-1.4224116561799156,0.0,0.0
1986-05-09,-0.6078747405386401,-0.607986165880293,-0.6079412630420481,-0.6078917541233365,-1.3561579500450867,0.0,0.0
1986-05-12,-0.6078826012740436,-0.607962829030273,-0.6079412632357929,-0.6078838957332549,-1.2409668473333952,0.0,0.0
1986-05-13,-0.6078747409218765,-0.6079706082350729,-0.6079333151679213,-0.6078760373431731,-1.4148828259373214,0.0,0.0
1986-05-14,-0.6078668801894669,-0.6079783870576945,-0.6079333149756784,-0.6078838957332549,-1.2718350513280317,0.0,0.0
1986-05-15,-0.6078747407317553,-0.6079706080439837,-0.6079333149756784,-0.6078838957332549,-1.415635708961581,0.0,0.0
1986-05-16,-0.6078747409218765,-0.6079550502105912,-0.6079333151679213,-0.6078760373431731,-1.2025698130961648,0.0,0.0
1986-05-19,-0.6078668799948431,-0.6079783868650892,-0.6079492113036881,-0.6078917541233365,-1.2274149528967258,0.0,0.0
1986-05-20,-0.6078826016508165,-0.6079939454579809,-0.6079571601310002,-0.6078996132702491,0.10518800004244883,0.0,0.0
1986-05-21,-0.6078904618067734,-0.6079939450755815,-0.6079651080066248,-0.6079153300504125,-1.3034561383469272,0.0,0.0
1986-05-22,-0.6079061828915018,-0.608009503103153,-0.6079651080066248,-0.6079153300504125,-1.399825165452133,0.0,0.0
1986-05-23,-0.6079061828915018,-0.6080017240893673,-0.6079651080066248,-0.6079153300504125,-1.4081068787189868,0.0,0.0
1986-05-27,-0.6079061829009085,-0.6079861660714052,-0.6079651080161365,-0.6078838957332549,-1.1521266504707837,0.0,0.0
1986-05-28,-0.6078747405311395,-0.6079550498118236,-0.6079333147728239,-0.6078524611998597,-1.1092123180879967,0.0,0.0
1986-05-29,-0.6078432985630869,-0.6079161460010487,-0.6079094701958213,-0.6078288766232892,-0.3209437916883833,0.0,0.0
1986-05-30,-0.6078118472328001,-0.6078772508086066,-0.6078697196318874,-0.6077895835916937,-0.807306225359969,0.0,0.0
